"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile"
"2","white_butterfly","3","yellow_flower","blue_flower","0","0","0.69177","1","0","1","0","0","1","toolbox02.jpg"
"2","white_butterfly","5","green_flower","blue_flower","0","0","1.300895","2","0","2","0","0","1","firehydrant.jpg"
"2","grey_butterfly","4","green_flower","red_flower","0","0","1.38265","3","0","3","0","0","1","shed02.jpg"
"2","grey_butterfly","4","red_flower","red_flower","1","0.25","0.705845","4","0","4","0","0","1","toucan.jpg"
"2","white_butterfly","2","yellow_flower","blue_flower","0","0.2","0.937415","5","0","5","0","0","1","skunk.jpg"
"2","white_butterfly","5","blue_flower","blue_flower","1","0.333333333333333","1.841375","6","0","6","0","1","1","motorcycle.jpg"
"2","grey_butterfly","3","green_flower","red_flower","0","0.285714285714286","0.668035","7","0","7","0","1","1","flipflop01b.jpg"
"2","grey_butterfly","1",NA,"red_flower","0","0.25",NA,"8","0","8","0","1","1","corn02.jpg"
"2","white_butterfly","2","blue_flower","blue_flower","1","0.333333333333333","0.535065","9","0","9","1","1","1","birdfeeder.jpg"
"2","grey_butterfly","4","green_flower","red_flower","0","0.3","0.686855","10","0","10","1","1","1","marble.jpg"
"2","grey_butterfly","5","blue_flower","red_flower","0","0.272727272727273","1.40441","11","0","11","1","2","1","shelf.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.333333333333333","0.535765","12","0","12","1","2","1","foosballtable.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.384615384615385","1.227495","13","0","13","1","2","1","tennisracket.jpg"
"2","grey_butterfly","3","red_flower","red_flower","1","0.428571428571429","1.59228","14","0","14","1","2","1","wheat.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.466666666666667","1.43778","15","0","15","1","2","1","tire.jpg"
"2","white_butterfly","4","yellow_flower","blue_flower","0","0","0.89249","16","2","1","0","0","1","handbrush02.jpg"
"2","white_butterfly","4","green_flower","blue_flower","0","0","1.00008","17","2","2","0","0","1","treadmill.jpg"
"2","grey_butterfly","2","red_flower","red_flower","1","0.333333333333333","1.709635","18","2","3","0","0","1","shower.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.5","0.429325","19","2","4","0","0","1","skateboard.jpg"
"2","white_butterfly","3","blue_flower","blue_flower","1","0.6","0.550235","20","2","5","0","0","1","barrel01.jpg"
"2","white_butterfly","4","blue_flower","blue_flower","1","0.666666666666667","0.936505","21","2","6","0","0","1","xylophone.jpg"
"2","grey_butterfly","5","red_flower","red_flower","1","0.714285714285714","0.984575","22","2","7","0","0","1","forklift.jpg"
"2","grey_butterfly","4","red_flower","red_flower","1","0.75","0.50491","23","2","8","0","0","1","scalpel.jpg"
"2","white_butterfly","5","blue_flower","blue_flower","1","0.777777777777778","0.67293","24","2","9","0","0","1","sailboat.jpg"
"2","white_butterfly","2","blue_flower","blue_flower","1","0.8","1.51986","25","2","10","0","0","1","snowman.jpg"
